City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
mattru,91,SL,1595868108,81,7.62,-11.83,77.56,5.68
ushuaia,90,AR,1595867826,87,-54.8,-68.3,32.0,28.86
bunbury,32,AU,1595868308,98,-33.33,115.63,54.0,8.03
ribeira grande,20,PT,1595867965,83,38.52,-28.7,77.0,10.29
khatanga,17,RU,1595868165,78,71.97,102.5,41.74,5.57
barcelos,0,BR,1595868308,48,-0.97,-62.92,90.23,3.11
taltal,21,CL,1595868308,52,-25.4,-70.48,64.74,3.06
la rochelle,90,FR,1595868283,69,46.17,-1.15,75.2,12.75
dikson,79,RU,1595867828,88,73.51,80.55,38.62,15.03
hermanus,0,ZA,1595867827,76,-34.42,19.23,57.0,3
saint george,40,BM,1595867966,66,32.38,-64.68,86.0,12.75
jarva-jaani,30,EE,1595868308,81,59.04,25.89,68.95,4.65
banda aceh,100,ID,1595868308,85,5.56,95.32,79.3,16.82
albany,49,AU,1595867826,93,-35.02,117.89,53.6,10.29
okhotsk,99,RU,1595867898,90,59.38,143.3,55.69,1.52
nizwa,79,OM,1595868309,57,22.93,57.53,85.64,4.27
half moon bay,90,US,1595868164,82,37.46,-122.43,66.99,3.36
rio gallegos,40,AR,1595868184,74,-51.62,-69.22,37.4,28.86
atuona,8,PF,1595867828,72,-9.8,-139.03,79.32,25.93
rikitea,100,PF,1595867895,74,-23.12,-134.97,71.26,14.07
sora,20,IT,1595868309,38,41.72,13.61,91.4,5.82
pathum thani,20,TH,1595868309,79,14.01,100.53,86.0,8.05
opuwo,0,NA,1595868106,26,-18.06,13.84,67.05,8.5
kruisfontein,0,ZA,1595867825,69,-34,24.73,57.0,1.01
olinda,75,BR,1595867814,61,-8.01,-34.86,82.4,16.11
hilo,90,US,1595867826,88,19.73,-155.09,75.2,3.36
magnolia,40,US,1595868309,70,33.27,-93.24,84.2,3.22
puerto ayora,75,EC,1595867828,78,-0.74,-90.35,71.6,16.11
nanortalik,100,GL,1595867965,86,60.14,-45.24,46.8,7.2
butaritari,96,KI,1595867896,78,3.07,172.79,82.71,11.48
peniche,9,PT,1595867682,85,39.36,-9.38,72.0,11.01
san quintin,85,MX,1595868310,71,30.48,-115.95,71.94,10.2
grand gaube,62,MU,1595868310,77,-20.01,57.66,70.0,1.99
san cristobal,40,VE,1595868310,46,7.77,-72.22,89.6,2.24
saskylakh,100,RU,1595868036,83,71.92,114.08,40.78,7.27
busselton,21,AU,1595867826,98,-33.65,115.33,54.0,8.05
ewa beach,40,US,1595868310,83,21.32,-158.01,80.6,10.29
tuktoyaktuk,40,CA,1595867827,72,69.45,-133.04,62.6,8.05
porto novo,20,CV,1595868310,58,17.02,-25.06,84.2,20.8
tautira,40,PF,1595868310,83,-17.73,-149.15,73.4,4.7
pangnirtung,75,CA,1595868310,71,66.15,-65.71,57.2,19.46
cockburn town,2,TC,1595868310,77,21.46,-71.14,82.33,17.67
hambantota,75,LK,1595867967,88,6.12,81.12,80.6,4.7
vaini,75,TO,1595867826,77,-21.2,-175.2,69.8,10.29
cabo san lucas,40,MX,1595867932,54,22.89,-109.91,84.2,18.34
nikolskoye,54,RU,1595867829,44,59.7,30.79,75.2,11.18
fairbanks,90,US,1595868311,87,64.84,-147.72,57.2,6.93
yellowknife,75,CA,1595867967,68,62.46,-114.35,73.99,9.17
port alfred,0,ZA,1595868038,68,-33.59,26.89,57.81,14.18
barrow,90,US,1595867827,86,71.29,-156.79,39.2,20.8
mount gambier,40,AU,1595867826,93,-37.83,140.77,37.4,6.93
hualmay,67,PE,1595868311,62,-11.1,-77.61,67.21,11.65
kununurra,20,AU,1595868311,32,-15.77,128.73,66.2,6.93
hobart,90,AU,1595867713,93,-42.88,147.33,45.0,5.82
santiago,100,PH,1595868311,90,16.69,121.55,75.65,4.03
punta arenas,40,CL,1595867827,74,-53.15,-70.92,41.0,16.11
gouyave,40,GD,1595868311,83,12.16,-61.73,84.2,9.17
cape town,0,ZA,1595867791,67,-33.93,18.42,62.01,8.05
kisangani,75,CD,1595868235,78,0.52,25.2,80.6,4.7
margate,80,ZA,1595867898,68,-30.86,30.37,61.88,8.68
sur,27,OM,1595868372,61,22.57,59.53,88.61,19.51
severo-kurilsk,58,RU,1595868034,91,50.68,156.12,51.33,17.36
wonthaggi,100,AU,1595868372,85,-38.6,145.59,53.01,14.79
san patricio,75,MX,1595868037,74,19.22,-104.7,86.0,6.55
castro,75,CL,1595868372,75,-42.47,-73.77,50.0,5.82
saint-philippe,100,RE,1595868038,73,-21.36,55.77,71.6,8.05
tiksi,99,RU,1595867826,83,71.69,128.87,40.82,6.08
carnarvon,0,ZA,1595868372,41,-30.97,22.13,52.57,4.34
loandjili,20,CG,1595868372,74,-4.76,11.86,78.8,9.17
ponta do sol,20,CV,1595867897,58,17.2,-25.09,84.2,20.8
hasaki,75,JP,1595868301,94,35.73,140.83,78.8,2.24
parkes,100,AU,1595868372,93,-33.13,148.18,50.0,5.01
lixourion,0,GR,1595868372,45,38.2,20.43,87.8,17.22
geraldton,40,AU,1595868372,93,-28.77,114.6,57.2,6.93
sumbe,0,AO,1595868372,79,-11.21,13.84,75.2,5.82
kapaa,90,US,1595867828,100,22.08,-159.32,75.2,8.05
port hardy,90,CA,1595867896,87,50.7,-127.42,59.0,9.17
nkongsamba,94,CM,1595868373,98,4.95,9.94,69.71,1.68
augusto correa,5,BR,1595868373,46,-1.02,-46.63,89.94,5.95
tiarei,40,PF,1595868373,83,-17.53,-149.33,73.4,4.7
bandar-e anzali,75,IR,1595868373,62,37.47,49.46,84.2,2.06
amapa,12,BR,1595868373,51,1,-52,89.94,4.9
atambua,67,ID,1595868373,86,-9.11,124.89,66.2,6.73
bria,12,CF,1595868135,88,6.54,21.99,72.07,2.8
calvinia,0,ZA,1595868373,36,-31.47,19.78,56.97,5.17
jacareacanga,0,BR,1595868373,25,-6.22,-57.75,98.06,2.73
kandiari,33,PK,1595868373,47,26.92,68.52,95.94,20.38
longyearbyen,0,SJ,1595868036,43,78.22,15.64,69.8,9.17
pemberton,20,CA,1595868373,56,50.32,-122.8,69.8,0.94
novikovo,76,RU,1595868373,66,51.15,37.89,70.32,8.32
kenai,20,US,1595868373,66,60.55,-151.26,55.4,4.7
provideniya,61,RU,1595867964,85,64.38,-173.3,51.87,7.31
forssa,100,FI,1595868374,69,60.81,23.62,66.99,1.99
mayumba,67,GA,1595868374,79,-3.43,10.66,74.43,8.46
qaanaaq,70,GL,1595867966,57,77.48,-69.36,45.48,1.41
ormara,0,PK,1595868374,85,25.21,64.64,84.83,13.49
mehamn,5,NO,1595868374,46,71.04,27.85,73.4,11.41
anchorage,1,US,1595868374,62,61.22,-149.9,59.0,1.52
avarua,52,CK,1595867829,88,-21.21,-159.78,69.8,5.82
alihe,24,CN,1595868374,82,50.57,123.72,65.88,1.79
jamestown,91,SH,1595867896,84,-15.94,-5.72,63.68,16.4
mineros,0,BO,1595868374,61,-17.12,-63.23,80.6,17.22
khasan,100,RU,1595868374,96,42.43,130.64,65.5,5.99
lyaskelya,39,RU,1595868374,66,61.77,31.02,64.8,2.62
norman wells,20,CA,1595867826,72,65.28,-126.83,62.6,3.36
katsuura,75,JP,1595867967,94,35.13,140.3,80.6,11.41
kaitangata,82,NZ,1595867898,70,-46.28,169.85,44.01,1.99
clyde river,90,CA,1595868375,100,70.47,-68.59,42.8,13.87
zakupne,56,UA,1595868375,78,49.12,26.34,70.0,1.01
sitka,90,US,1595867894,93,57.05,-135.33,53.6,5.82
bredasdorp,0,ZA,1595867967,71,-34.53,20.04,57.2,9.17
itaqui,100,BR,1595868375,69,-29.13,-56.55,62.26,1.83
nishihara,20,JP,1595867964,78,26.18,127.76,82.4,5.82
la ronge,5,CA,1595868375,49,55.1,-105.28,71.6,9.17
lubbock,75,US,1595868375,51,33.6,-101.83,84.99,10.29
nome,90,US,1595868042,87,64.5,-165.41,50.0,13.87
pangody,86,RU,1595868375,58,65.85,74.49,53.78,15.08
salinopolis,19,BR,1595867828,57,-0.61,-47.36,86.72,10.8
grindavik,20,IS,1595868105,71,63.84,-22.43,50.0,23.04
abbeville,90,US,1595868435,94,29.97,-92.13,75.99,6.93
luderitz,0,NA,1595868107,36,-26.65,15.16,75.2,9.17
marienburg,40,SR,1595868435,62,5.85,-55.02,87.8,5.82
port elizabeth,0,ZA,1595867896,71,-33.92,25.57,55.4,5.82
honningsvag,1,NO,1595868435,63,70.98,25.97,62.6,1.12
richards bay,92,ZA,1595868436,76,-28.78,32.04,60.4,3.83
kholodnyy,58,RU,1595868436,69,62.72,147.95,51.57,2.15
port lincoln,20,AU,1595868436,78,-34.73,135.87,50.47,7.34
touho,97,NC,1595868436,82,-20.78,165.23,72.5,16.06
sandpoint,1,US,1595868433,38,48.28,-116.55,73.99,10.29
bluff,100,NZ,1595868436,83,-46.6,168.33,39.0,3
georgetown,90,SH,1595867894,68,-7.93,-14.42,75.42,14.83
bethel,1,US,1595867966,52,41.37,-73.41,91.0,5.82
verkhoyansk,62,RU,1595868436,83,67.54,133.38,48.56,7.07
manicore,7,BR,1595868436,52,-5.81,-61.3,89.6,4.7
novoseleznevo,74,RU,1595868436,70,55.68,69.21,60.51,5.23
joigny,1,FR,1595868437,34,47.98,3.4,89.01,1.99
kasama,95,ZM,1595868437,54,-10.21,31.18,63.61,5.5
sinnamary,24,GF,1595868437,60,5.38,-52.95,87.21,5.55
guerrero negro,8,MX,1595867826,65,27.98,-114.06,74.21,15.52
raudeberg,75,NO,1595868437,82,61.99,5.14,64.99,8.05
buala,82,SB,1595867966,83,-8.14,159.59,80.13,9.48
vaitape,100,PF,1595868437,80,-16.52,-151.75,79.32,14.74
torbay,90,CA,1595867965,100,47.67,-52.73,62.01,11.41
mar del plata,40,AR,1595867669,57,-38,-57.56,48.2,19.46
kavieng,59,PG,1595867966,75,-2.57,150.8,81.39,1.39
ampanihy,0,MG,1595868437,74,-24.7,44.75,61.47,7.54
boueni,90,YT,1595868437,94,-12.9,45.08,69.8,25.28
shenjiamen,100,CN,1595868437,92,29.96,122.3,78.75,18.3
luangwa,0,ZM,1595868437,41,-15.62,30.42,65.77,3.69
kutum,34,SD,1595868438,35,14.2,24.67,87.82,3.74
arraial do cabo,20,BR,1595867894,61,-22.97,-42.03,80.6,19.46
henties bay,0,NA,1595868438,68,-22.12,14.28,66.99,1.01
shimanovsk,0,RU,1595868438,88,52,127.7,66.67,4.83
mangrol,39,IN,1595868438,80,21.12,70.12,84.2,13.62
grande prairie,20,CA,1595868202,64,55.17,-118.8,68.0,5.55
ninghai,100,CN,1595868438,88,29.29,121.42,82.4,4.47
ixtapa,90,MX,1595868438,94,20.7,-105.2,79.0,5.82
santiago del estero,0,AR,1595868438,27,-27.8,-64.26,68.58,14.16
touros,75,BR,1595868438,83,-5.2,-35.46,78.8,13.87
bintulu,40,MY,1595868439,94,3.17,113.03,78.8,3.36
san anselmo,1,US,1595868217,77,37.97,-122.56,66.0,4.5
halifax,100,CA,1595868439,73,44.65,-63.57,73.0,1.99
new norfolk,95,AU,1595868439,90,-42.78,147.06,43.0,2.24
muisne,40,EC,1595868439,78,0.6,-80.03,80.6,4.7
casa nova,75,BR,1595868439,48,-9.42,-41.13,82.4,16.11
upernavik,2,GL,1595868439,78,72.79,-56.15,44.62,6.67
faanui,100,PF,1595867965,82,-16.48,-151.75,78.48,14.79
monrovia,75,LR,1595868439,83,6.3,-10.8,78.8,5.82
chokurdakh,100,RU,1595868034,71,70.63,147.92,42.37,1.9
lebu,11,CL,1595868439,65,-37.62,-73.65,49.1,11.97
east london,15,ZA,1595867897,65,-33.02,27.91,60.44,11.01
shimoda,100,JP,1595868439,95,34.67,138.95,70.0,1.01
los llanos de aridane,20,ES,1595867965,65,28.66,-17.92,77.0,17.22
chuy,1,UY,1595867897,69,-33.7,-53.46,58.46,7
coihaique,20,CL,1595868439,60,-45.58,-72.07,41.0,13.87
kenora,40,CA,1595868439,60,49.82,-94.43,71.6,11.41
arlit,78,NE,1595868440,8,18.74,7.39,107.94,3.91
umm lajj,56,SA,1595868500,66,25.02,37.27,87.51,4.18
caucaia,20,BR,1595868500,51,-3.74,-38.65,86.0,21.92
ilulissat,75,GL,1595868500,81,69.22,-51.1,44.6,9.17
tura,100,RU,1595868500,86,64.28,100.25,45.46,16.08
selikhino,2,RU,1595868500,92,50.37,137.5,60.21,3.24
cabedelo,75,BR,1595868500,65,-6.98,-34.83,82.4,18.34
canoa,17,PA,1595868500,86,8.44,-81.78,80.01,1.59
cherskiy,55,RU,1595868500,77,68.75,161.3,38.41,10.78
rawah,1,IQ,1595868500,10,34.48,41.91,103.84,6.71
lorengau,90,PG,1595868035,80,-2.02,147.27,79.9,4.05
victoria,75,SC,1595868235,88,-4.62,55.45,78.8,9.17
tosya,66,TR,1595868500,65,41.02,34.04,72.19,5.46
cidreira,93,BR,1595868500,80,-30.18,-50.21,65.35,4.07
kailua,90,US,1595868501,88,21.4,-157.74,77.0,11.41
talnakh,96,RU,1595868234,57,69.49,88.4,51.8,8.95
vestmannaeyjar,2,IS,1595868501,62,63.44,-20.27,57.2,19.46
paamiut,70,GL,1595868105,88,61.99,-49.67,46.36,4.94
port blair,100,IN,1595868501,80,11.67,92.75,82.6,5.82
alvaraes,40,BR,1595868501,83,-3.22,-64.8,82.4,5.82
marawi,54,SD,1595868036,12,18.48,31.82,102.97,5.5
tessalit,90,ML,1595868233,25,20.2,1.01,97.23,4.16
adrar,27,DZ,1595868501,12,25.75,-1,109.69,12.64
thompson,75,CA,1595868501,93,55.74,-97.86,59.0,8.05
ahipara,86,NZ,1595868501,83,-35.17,173.17,51.15,7.65
jieshou,40,CN,1595868501,97,33.26,115.36,70.7,4.45
tuy hoa,45,VN,1595868501,87,13.08,109.3,78.78,6.04
tutoia,13,BR,1595868501,49,-2.76,-42.27,86.61,10.04
agirish,50,RU,1595868501,59,61.92,63.02,58.15,5.37
tanout,77,NE,1595868501,38,14.97,8.89,91.24,15.41
bundaberg,99,AU,1595868105,82,-24.85,152.35,59.0,5.82
kodiak,90,US,1595868330,82,57.79,-152.41,55.4,3.36
zwedru,96,LR,1595868502,81,6.07,-8.13,77.05,3
bengkulu,48,ID,1595868502,83,-3.8,102.27,76.05,7.83
fayaoue,72,NC,1595868502,79,-20.65,166.53,73.49,21.34
bambous virieux,75,MU,1595868502,83,-20.34,57.76,70.0,3.36
prado,52,BR,1595868502,63,-17.34,-39.22,77.29,8.01
college,90,US,1595868502,82,64.86,-147.8,57.2,4.7
isangel,28,VU,1595868034,80,-19.55,169.27,73.69,16.04
araouane,71,ML,1595868502,24,18.9,-3.53,102.11,19.33
makakilo city,40,US,1595868502,83,21.35,-158.09,80.6,10.29
coahuayana,75,MX,1595868502,88,18.73,-103.68,73.4,1.99
manta,90,EC,1595868502,83,-0.95,-80.73,75.2,3.36
herat,0,AF,1595868502,18,34.5,62,87.8,11.41
berlevag,17,NO,1595868503,46,70.86,29.09,73.4,11.41
fortuna,7,US,1595868252,96,40.6,-124.16,55.99,3
nuevo progreso,100,MX,1595868503,68,23.17,-97.95,81.0,1.01
narsaq,75,GL,1595868503,66,60.92,-46.05,53.6,4.7
ostrovnoy,23,RU,1595868503,77,68.05,39.51,63.14,2.17
uvira,16,CD,1595868503,56,-3.41,29.15,75.18,8.93
leshukonskoye,80,RU,1595868503,86,64.9,45.76,63.95,0.58
grajau,0,BR,1595868382,24,-5.82,-46.14,94.98,7.74
alugan,100,PH,1595868503,86,12.22,125.48,79.12,5.21
comodoro rivadavia,20,AR,1595868503,48,-45.87,-67.5,44.6,12.75
syasstroy,9,RU,1595868503,68,60.14,32.57,65.71,6.6
lamar,40,US,1595868503,66,33.67,-95.58,84.99,5.82
koutiala,97,ML,1595868503,68,12.39,-5.46,83.77,4.23
sola,70,VU,1595867966,83,-13.88,167.55,80.17,24.11
nemuro,85,JP,1595868504,93,43.32,145.57,57.0,6.38
daru,100,PG,1595868504,89,-9.08,143.21,76.91,15.75
roma,59,AU,1595868564,62,-26.58,148.78,46.08,10
duku,91,NG,1595868564,79,11.24,4.91,78.04,3.31
qaqortoq,75,GL,1595868424,66,60.72,-46.03,53.6,4.7
shadrinsk,0,RU,1595868564,77,56.09,63.63,59.04,6.64
dunedin,76,NZ,1595868108,70,-45.87,170.5,44.01,1.99
teguldet,22,RU,1595868565,85,57.31,88.17,52.88,0.47
pokhara,75,NP,1595868106,83,28.23,83.98,72.88,2.64
ewo,19,CG,1595868565,43,-0.87,14.82,86.63,2.35
bandiagara,55,ML,1595868565,40,14.35,-3.61,93.76,5.99
kloulklubed,75,PW,1595868565,94,7.04,134.26,77.0,4.7
manono,0,CD,1595868565,25,-7.3,27.42,76.91,3.65
zhongshu,0,CN,1595868565,84,24.52,103.77,60.57,2.64
lago da pedra,26,BR,1595868565,39,-4.33,-45.17,90.0,6.35
salalah,90,OM,1595867844,94,17.02,54.09,80.6,8.05
svetlyy,40,RU,1595868301,77,54.67,20.13,68.0,6.71
charters towers,0,AU,1595868565,42,-20.1,146.27,53.98,8.48
pisco,90,PE,1595868565,87,-13.7,-76.22,63.0,3.36
boli,0,CN,1595868566,86,45.77,130.52,65.41,4.23
gari,0,RU,1595868566,65,59.43,62.35,57.52,3.67
san joaquin,64,BO,1595868570,19,-16.38,-58.39,95.95,7.58
hithadhoo,100,MV,1595868570,76,-0.6,73.08,82.76,12.62
hazorasp,0,UZ,1595868570,35,41.32,61.07,86.0,13.87
mogzon,98,RU,1595868570,96,51.74,111.96,59.77,3.51
rincon,20,US,1595868570,55,32.3,-81.24,100.0,4.7
navirai,93,BR,1595868570,40,-23.07,-54.19,82.78,8.23
dzhebariki-khaya,100,RU,1595868570,69,62.22,135.8,61.23,2.53
beringovskiy,3,RU,1595868302,69,63.05,179.32,60.76,6.13
bandundu,35,CD,1595868571,31,-3.32,17.37,89.26,1.7
shache,89,CN,1595868571,29,38.42,77.24,81.63,8.3
sawtell,1,AU,1595868571,62,-30.38,153.1,57.2,10.29
lompoc,90,US,1595867822,87,34.64,-120.46,60.01,3.36
pyshchug,100,RU,1595868571,86,58.89,45.71,62.53,1.32
lampazos de naranjo,97,MX,1595868571,76,27.02,-100.52,75.15,5.59
buraydah,66,SA,1595868404,23,26.33,43.98,105.8,2.24
the valley,40,AI,1595868107,62,18.22,-63.06,87.8,17.22
canutama,21,BR,1595868571,37,-6.53,-64.38,94.01,3.83
inuvik,20,CA,1595868571,59,68.35,-133.72,66.2,4.7
tianpeng,13,CN,1595868571,66,30.99,103.94,86.0,6.71
